Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,20,004,4,Afghanistan,2,3545,1678,7490,3545,29.4,17.9,3.1
ALB,20,008,8,Albania,2,1022,951,1099,1022,51.1,72.6,5.2
DZA,20,012,12,Algeria,2,14601,14101,15118,14601,61.9,65.1,6.3
AGO,20,024,24,Angola,2,2898,2843,2954,2898,29.4,16.4,3.3
AZE,20,031,31,Azerbaijan,2,2195,1349,3572,2195,32.9,42.6,3.5
ARG,20,032,32,Argentina,2,21631,17903,26135,21631,71.3,91.8,7.8
AUS,20,036,36,Australia,2,21931,20621,23325,21931,101.5,167.6,10.9
AUT,20,040,40,Austria,2,5983,5544,6456,5983,69.5,130.3,7.5
BHS,20,044,44,Bahamas,2,172,55,538,172,64.6,83.6,6.6
BHR,20,048,48,Bahrain,2,324,69,1519,324,58.5,51.7,6.5
BGD,20,050,50,Bangladesh,2,12989,12911,13068,12989,15.2,15.6,1.6
ARM,20,051,51,Armenia,2,1013,612,1677,1013,39.6,64.4,4.6
BRB,20,052,52,Barbados,2,145,56,376,145,57.7,97.7,5.8
BEL,20,056,56,Belgium,2,11255,10919,11602,11255,104.4,191.5,11.0
BTN,20,064,64,Bhutan,2,16,16,16,16,4.6,4.3,0.50
BOL,20,068,68,Bolivia (Plurinational State of),2,1679,865,3259,1679,26.8,28.1,2.5
BIH,20,070,70,Bosnia Herzegovina,2,1539,1372,1726,1539,51.9,92.8,5.6
BWA,20,072,72,Botswana,2,257,198,333,257,23.0,20.5,2.5
BRA,20,076,76,Brazil,2,94728,83336,107678,94728,63.1,86.4,6.8
BLZ,20,084,84,Belize,2,85,6,1250,85,46.8,41.0,5.2
SLB,20,090,90,Solomon Islands,2,129,101,165,129,49.2,36.4,5.2
BRN,20,096,96,Brunei Darussalam,2,131,95,181,131,50.2,61.1,5.4
BGR,20,100,100,Bulgaria,2,3558,3302,3833,3558,52.8,101.0,5.7
MMR,20,104,104,Myanmar,2,7644,7524,7766,7644,23.4,26.7,2.4
BDI,20,108,108,Burundi,2,863,727,1024,863,25.3,13.6,2.8
BLR,20,112,112,Belarus,2,5183,4836,5555,5183,56.6,102.9,6.4
KHM,20,116,116,Cambodia,2,2116,2085,2148,2116,25.1,24.1,2.6
CMR,20,120,120,Cameroon,2,4207,2944,6012,4207,48.6,30.2,5.1
CAN,20,124,124,Canada,2,31823,30529,33172,31823,88.6,164.7,9.8
CPV,20,132,132,Cape Verde,2,67,52,86,67,23.4,23.7,2.5
CAF,20,140,140,Central African Republic,2,574,438,753,574,37.7,22.7,3.9
LKA,20,144,144,Sri Lanka,2,4555,4299,4826,4555,27.7,40.5,3.1
TCD,20,148,148,Chad,2,749,688,815,749,14.2,8.6,1.4
CHL,20,152,152,Chile,2,5640,3955,8042,5640,38.2,57.8,4.1
